feature,Class,Category,Species.Name,Molecular.Species.Name,Structural.Species.Name,Level,Mass,Sum.Formula,Total.FA,Total.C,Total.DB,Total.OH,FA,FA.C,FA.DB,FA.OH,LCB,LCB2,LCB.C,LCB.DB,LCB.OH,LCB.Bond.Type,FA1,FA1.C,FA1.DB,FA1.OH,FA1.Bond.Type,FA2,FA2.C,FA2.DB,FA2.OH,FA2.Bond.Type,FA3,FA3.C,FA3.DB,FA3.OH,FA3.Bond.Type,FA4,FA4.C,FA4.DB,FA4.OH,FA4.Bond.Type,Lipid.Maps.Category,Lipid.Maps.Class,Lipid.Maps.Subclass,Cellular.Component,Function,Bond.type,Headgroup.Charge,Lateral.Diffusion,Bilayer.Thickness,Intrinsic.Curvature,Transition.Temperature,FA.Unsaturation.Category1,FA.Unsaturation.Category2,FA.Chain.Length.Category1,FA.Chain.Length.Category2,FA.Chain.Length.Category3,LION.abbr,GATOM.abbr,LIPIDMAPS.reaction.abbr
LPE 18:3,LPE,GP,LPE 18:3,LPE 18:3,,MOLECULAR_SPECIES,475.26989,C23H42NO7P,18:3,18,3,0,18:03,18,3,0,,,,,,,0.752083333,18,3,0,ESTER,0,0,0,0,ESTER,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02]|lysoglycerophospholipids,monoacylglycerophosphoethanolamines [GP0205],endoplasmic reticulum (ER)|mitochondrion,membrane component|lipid-mediated signalling,,headgroup with positive charge / zwitter-ion,,,positive intrinsic curvature,,Polyunsaturated fatty acid,FA with more than 2 double bonds,FA with 18 carbons or less,FA with 16-18 carbons,Long-chain FA,PE(18:3/0:0),LPE(18:3),LPE
LPE 20:0,LPE,GP,LPE 20:0,LPE 20:0,,MOLECULAR_SPECIES,509.34814,C25H52NO7P,20:0,20,0,0,20:00,20,0,0,,,,,,,0.833333333,20,0,0,ESTER,0,0,0,0,ESTER,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02]|lysoglycerophospholipids,monoacylglycerophosphoethanolamines [GP0205],endoplasmic reticulum (ER)|mitochondrion,membrane component|lipid-mediated signalling,,headgroup with positive charge / zwitter-ion,,,positive intrinsic curvature,,FA with less than 2 double bonds,Saturated fatty acid,FA with more than 18 carbons,FA with 19-21 carbons,Long-chain FA,PE(20:0/0:0),LPE(20:0),LPE
LPE 20:1,LPE,GP,LPE 20:1,LPE 20:1,,MOLECULAR_SPECIES,507.33249,C25H50NO7P,20:1,20,1,0,20:01,20,1,0,,,,,,,0.834027778,20,1,0,ESTER,0,0,0,0,ESTER,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02]|lysoglycerophospholipids,monoacylglycerophosphoethanolamines [GP0205],endoplasmic reticulum (ER)|mitochondrion,membrane component|lipid-mediated signalling,,headgroup with positive charge / zwitter-ion,,,positive intrinsic curvature,,FA with less than 2 double bonds,Monounsaturated fatty acid,FA with more than 18 carbons,FA with 19-21 carbons,Long-chain FA,PE(20:1/0:0),LPE(20:1),LPE
LPE 20:2,LPE,GP,LPE 20:2,LPE 20:2,,MOLECULAR_SPECIES,505.31684,C25H48NO7P,20:2,20,2,0,20:02,20,2,0,,,,,,,0.834722222,20,2,0,ESTER,0,0,0,0,ESTER,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02]|lysoglycerophospholipids,monoacylglycerophosphoethanolamines [GP0205],endoplasmic reticulum (ER)|mitochondrion,membrane component|lipid-mediated signalling,,headgroup with positive charge / zwitter-ion,,,positive intrinsic curvature,,Polyunsaturated fatty acid,FA with 2 double bonds,FA with more than 18 carbons,FA with 19-21 carbons,Long-chain FA,PE(20:2/0:0),LPE(20:2),LPE
LPE 20:3,LPE,GP,LPE 20:3,LPE 20:3,,MOLECULAR_SPECIES,503.30119,C25H46NO7P,20:3,20,3,0,20:03,20,3,0,,,,,,,0.835416667,20,3,0,ESTER,0,0,0,0,ESTER,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02]|lysoglycerophospholipids,monoacylglycerophosphoethanolamines [GP0205],endoplasmic reticulum (ER)|mitochondrion,membrane component|lipid-mediated signalling,,headgroup with positive charge / zwitter-ion,,,positive intrinsic curvature,,Polyunsaturated fatty acid,FA with more than 2 double bonds,FA with more than 18 carbons,FA with 19-21 carbons,Long-chain FA,PE(20:3/0:0),LPE(20:3),LPE
LPE 20:4,LPE,GP,LPE 20:4,LPE 20:4,,MOLECULAR_SPECIES,501.28554,C25H44NO7P,20:4,20,4,0,20:04,20,4,0,,,,,,,0.836111111,20,4,0,ESTER,0,0,0,0,ESTER,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02]|lysoglycerophospholipids,monoacylglycerophosphoethanolamines [GP0205],endoplasmic reticulum (ER)|mitochondrion,membrane component|lipid-mediated signalling,,headgroup with positive charge / zwitter-ion,,,positive intrinsic curvature,,Polyunsaturated fatty acid,FA with more than 2 double bonds,FA with more than 18 carbons,FA with 19-21 carbons,Long-chain FA,PE(20:4/0:0),LPE(20:4),LPE
LPE 20:5,LPE,GP,LPE 20:5,LPE 20:5,,MOLECULAR_SPECIES,499.26989,C25H42NO7P,20:5,20,5,0,20:05,20,5,0,,,,,,,0.836805556,20,5,0,ESTER,0,0,0,0,ESTER,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02]|lysoglycerophospholipids,monoacylglycerophosphoethanolamines [GP0205],endoplasmic reticulum (ER)|mitochondrion,membrane component|lipid-mediated signalling,,headgroup with positive charge / zwitter-ion,,,positive intrinsic curvature,,Polyunsaturated fatty acid,FA with more than 2 double bonds,FA with more than 18 carbons,FA with 19-21 carbons,Long-chain FA,PE(20:5/0:0),LPE(20:5),LPE
LPE 22:0,LPE,GP,LPE 22:0,LPE 22:0,,MOLECULAR_SPECIES,537.37944,C27H56NO7P,22:0,22,0,0,22:00,22,0,0,,,,,,,0.916666667,22,0,0,ESTER,0,0,0,0,ESTER,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02]|lysoglycerophospholipids,monoacylglycerophosphoethanolamines [GP0205],endoplasmic reticulum (ER)|mitochondrion,membrane component|lipid-mediated signalling,,headgroup with positive charge / zwitter-ion,,,positive intrinsic curvature,,FA with less than 2 double bonds,Saturated fatty acid,FA with more than 18 carbons,FA with 22-24 carbons,Very long-chain FA,PE(22:0/0:0),LPE(22:0),LPE
LPE 22:1,LPE,GP,LPE 22:1,LPE 22:1,,MOLECULAR_SPECIES,535.36379,C27H54NO7P,22:1,22,1,0,22:01,22,1,0,,,,,,,0.917361111,22,1,0,ESTER,0,0,0,0,ESTER,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02]|lysoglycerophospholipids,monoacylglycerophosphoethanolamines [GP0205],endoplasmic reticulum (ER)|mitochondrion,membrane component|lipid-mediated signalling,,headgroup with positive charge / zwitter-ion,,,positive intrinsic curvature,,FA with less than 2 double bonds,Monounsaturated fatty acid,FA with more than 18 carbons,FA with 22-24 carbons,Very long-chain FA,PE(22:1/0:0),LPE(22:1),LPE
LPE 24:0,LPE,GP,LPE 24:0,LPE 24:0,,MOLECULAR_SPECIES,565.41074,C29H60NO7P,24:0,24,0,0,24:00:00,24,0,0,,,,,,,1,24,0,0,ESTER,0,0,0,0,ESTER,,,,,,,,,,,Glycerophospholipids [GP],,,,,,,,,,,FA with less than 2 double bonds,Saturated fatty acid,FA with more than 18 carbons,FA with 22-24 carbons,Very long-chain FA,PE(24:0/0:0),LPE(24:0),LPE
LPE 24:1,LPE,GP,LPE 24:1,LPE 24:1,,MOLECULAR_SPECIES,563.39509,C29H58NO7P,24:1,24,1,0,24:01:00,24,1,0,,,,,,,1.000694444,24,1,0,ESTER,0,0,0,0,ESTER,,,,,,,,,,,Glycerophospholipids [GP],,,,,,,,,,,FA with less than 2 double bonds,Monounsaturated fatty acid,FA with more than 18 carbons,FA with 22-24 carbons,Very long-chain FA,PE(24:1/0:0),LPE(24:1),LPE
PE O-30:0,PE O-,GP,PE O-30:0,,,SPECIES,649.50464,C35H72NO7P,30:0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],,,,,,,,,,,,,,,,PE(O-30:0),PE(O-30:0),PE-O
PE O-30:1,PE O-,GP,PE O-30:1,,,SPECIES,647.48899,C35H70NO7P,30:1,30,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],,,,,,,,,,,,,,,,PE(O-30:1),PE(O-30:1),PE-O
PE O-32:0,PE O-,GP,PE O-32:0,,,SPECIES,677.53594,C37H76NO7P,32:0,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02],"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",endoplasmic reticulum (ER)|mitochondrion,membrane component,contains ether-bond,headgroup with positive charge / zwitter-ion,,,negative intrinsic curvature,,,,,,,PE(O-32:0),PE(O-32:0),PE-O
